utilization.gpu [%], memory.used [MiB], timestamp
1, 554, 2024/06/09 19:24:27.845
1, 554, 2024/06/09 19:24:28.047
1, 554, 2024/06/09 19:24:28.250
0, 554, 2024/06/09 19:24:28.452
0, 554, 2024/06/09 19:24:28.653
0, 554, 2024/06/09 19:24:28.855
0, 554, 2024/06/09 19:24:29.057
0, 554, 2024/06/09 19:24:29.259
0, 554, 2024/06/09 19:24:29.460
0, 554, 2024/06/09 19:24:29.662
0, 554, 2024/06/09 19:24:29.863
5, 554, 2024/06/09 19:24:30.065
2, 539, 2024/06/09 19:24:30.269
11, 540, 2024/06/09 19:24:30.472
1, 540, 2024/06/09 19:24:30.675
1, 540, 2024/06/09 19:24:30.877
1, 540, 2024/06/09 19:24:31.080
1, 540, 2024/06/09 19:24:31.283
8, 541, 2024/06/09 19:24:31.484
1, 541, 2024/06/09 19:24:31.687
1, 541, 2024/06/09 19:24:31.889
8, 541, 2024/06/09 19:24:32.093
1, 541, 2024/06/09 19:24:32.296
7, 536, 2024/06/09 19:24:32.497
1, 536, 2024/06/09 19:24:32.700
1, 536, 2024/06/09 19:24:32.903
8, 536, 2024/06/09 19:24:33.106
1, 536, 2024/06/09 19:24:33.309
4, 536, 2024/06/09 19:24:33.511
4, 536, 2024/06/09 19:24:33.713
1, 536, 2024/06/09 19:24:33.916
8, 536, 2024/06/09 19:24:34.119
1, 536, 2024/06/09 19:24:34.322
1, 536, 2024/06/09 19:24:34.524
1, 536, 2024/06/09 19:24:34.726
1, 536, 2024/06/09 19:24:34.927
1, 536, 2024/06/09 19:24:35.130
1, 535, 2024/06/09 19:24:35.332
0, 535, 2024/06/09 19:24:35.535
0, 535, 2024/06/09 19:24:35.736
0, 535, 2024/06/09 19:24:35.938
0, 535, 2024/06/09 19:24:36.141
0, 536, 2024/06/09 19:24:36.343
9, 536, 2024/06/09 19:24:36.545
1, 536, 2024/06/09 19:24:36.748
1, 536, 2024/06/09 19:24:36.949
1, 536, 2024/06/09 19:24:37.153
1, 536, 2024/06/09 19:24:37.354
1, 536, 2024/06/09 19:24:37.556
0, 536, 2024/06/09 19:24:37.758
0, 536, 2024/06/09 19:24:37.959
0, 536, 2024/06/09 19:24:38.161
0, 535, 2024/06/09 19:24:38.363
1, 535, 2024/06/09 19:24:38.566
0, 535, 2024/06/09 19:24:38.767
0, 535, 2024/06/09 19:24:38.969
0, 535, 2024/06/09 19:24:39.172
0, 535, 2024/06/09 19:24:39.373
0, 532, 2024/06/09 19:24:39.575
0, 532, 2024/06/09 19:24:39.778
0, 532, 2024/06/09 19:24:39.979
0, 532, 2024/06/09 19:24:40.183
0, 532, 2024/06/09 19:24:40.384
0, 532, 2024/06/09 19:24:40.586
0, 532, 2024/06/09 19:24:40.788
0, 532, 2024/06/09 19:24:40.990
0, 532, 2024/06/09 19:24:41.193
0, 528, 2024/06/09 19:24:41.395
0, 528, 2024/06/09 19:24:41.597
0, 528, 2024/06/09 19:24:41.800
0, 528, 2024/06/09 19:24:42.002
0, 528, 2024/06/09 19:24:42.206
0, 528, 2024/06/09 19:24:42.408
0, 528, 2024/06/09 19:24:42.610
0, 528, 2024/06/09 19:24:42.813
0, 528, 2024/06/09 19:24:43.015
0, 528, 2024/06/09 19:24:43.218
0, 528, 2024/06/09 19:24:43.421
0, 528, 2024/06/09 19:24:43.623
0, 528, 2024/06/09 19:24:43.826
0, 528, 2024/06/09 19:24:44.028
0, 528, 2024/06/09 19:24:44.231
0, 528, 2024/06/09 19:24:44.434
0, 528, 2024/06/09 19:24:44.636
0, 528, 2024/06/09 19:24:44.839
0, 528, 2024/06/09 19:24:45.041
0, 528, 2024/06/09 19:24:45.244
0, 528, 2024/06/09 19:24:45.447
0, 528, 2024/06/09 19:24:45.649
0, 528, 2024/06/09 19:24:45.851
0, 528, 2024/06/09 19:24:46.054
0, 528, 2024/06/09 19:24:46.257
0, 528, 2024/06/09 19:24:46.460
0, 528, 2024/06/09 19:24:46.662
0, 528, 2024/06/09 19:24:46.864
0, 528, 2024/06/09 19:24:47.067
0, 528, 2024/06/09 19:24:47.271
0, 528, 2024/06/09 19:24:47.473
0, 528, 2024/06/09 19:24:47.675
0, 528, 2024/06/09 19:24:47.878
0, 528, 2024/06/09 19:24:48.080
0, 528, 2024/06/09 19:24:48.284
0, 528, 2024/06/09 19:24:48.486
0, 528, 2024/06/09 19:24:48.688
0, 528, 2024/06/09 19:24:48.891
0, 528, 2024/06/09 19:24:49.094
0, 528, 2024/06/09 19:24:49.296
0, 528, 2024/06/09 19:24:49.498
0, 528, 2024/06/09 19:24:49.701
0, 528, 2024/06/09 19:24:49.903
0, 528, 2024/06/09 19:24:50.107
0, 528, 2024/06/09 19:24:50.309
0, 528, 2024/06/09 19:24:50.511
0, 528, 2024/06/09 19:24:50.714
0, 528, 2024/06/09 19:24:50.916
0, 528, 2024/06/09 19:24:51.120
0, 528, 2024/06/09 19:24:51.322
0, 528, 2024/06/09 19:24:51.524
0, 528, 2024/06/09 19:24:51.727
0, 528, 2024/06/09 19:24:51.929
0, 528, 2024/06/09 19:24:52.132
0, 528, 2024/06/09 19:24:52.334
0, 528, 2024/06/09 19:24:52.537
0, 528, 2024/06/09 19:24:52.739
0, 528, 2024/06/09 19:24:52.941
0, 528, 2024/06/09 19:24:53.145
0, 528, 2024/06/09 19:24:53.347
0, 528, 2024/06/09 19:24:53.550
0, 528, 2024/06/09 19:24:53.752
0, 528, 2024/06/09 19:24:53.954
0, 528, 2024/06/09 19:24:54.158
0, 528, 2024/06/09 19:24:54.360
0, 528, 2024/06/09 19:24:54.562
0, 528, 2024/06/09 19:24:54.765
0, 536, 2024/06/09 19:24:54.967
30, 536, 2024/06/09 19:24:55.172
28, 536, 2024/06/09 19:24:55.378
28, 536, 2024/06/09 19:24:55.582
29, 536, 2024/06/09 19:24:55.785
28, 536, 2024/06/09 19:24:55.988
29, 536, 2024/06/09 19:24:56.192
29, 536, 2024/06/09 19:24:56.395
28, 536, 2024/06/09 19:24:56.598
28, 536, 2024/06/09 19:24:56.800
28, 536, 2024/06/09 19:24:57.004
29, 536, 2024/06/09 19:24:57.212
28, 569, 2024/06/09 19:24:57.415
38, 569, 2024/06/09 19:24:57.617
27, 569, 2024/06/09 19:24:57.820
28, 569, 2024/06/09 19:24:58.023
