utilization.gpu [%], memory.used [MiB], timestamp
0, 460, 2024/06/09 16:35:08.793
0, 460, 2024/06/09 16:35:08.996
0, 460, 2024/06/09 16:35:09.197
0, 460, 2024/06/09 16:35:09.399
0, 460, 2024/06/09 16:35:09.601
0, 460, 2024/06/09 16:35:09.803
0, 460, 2024/06/09 16:35:10.005
0, 460, 2024/06/09 16:35:10.207
0, 460, 2024/06/09 16:35:10.408
0, 460, 2024/06/09 16:35:10.610
0, 460, 2024/06/09 16:35:10.812
0, 460, 2024/06/09 16:35:11.014
0, 460, 2024/06/09 16:35:11.215
22, 326, 2024/06/09 16:35:11.417
40, 388, 2024/06/09 16:35:11.621
12, 388, 2024/06/09 16:35:11.824
12, 380, 2024/06/09 16:35:12.029
11, 380, 2024/06/09 16:35:12.232
11, 380, 2024/06/09 16:35:12.436
11, 380, 2024/06/09 16:35:12.639
10, 380, 2024/06/09 16:35:12.843
10, 380, 2024/06/09 16:35:13.047
10, 380, 2024/06/09 16:35:13.250
7, 380, 2024/06/09 16:35:13.453
40, 397, 2024/06/09 16:35:13.656
13, 397, 2024/06/09 16:35:13.858
14, 357, 2024/06/09 16:35:14.063
9, 357, 2024/06/09 16:35:14.266
9, 357, 2024/06/09 16:35:14.469
10, 357, 2024/06/09 16:35:14.672
9, 357, 2024/06/09 16:35:14.875
10, 357, 2024/06/09 16:35:15.082
4, 342, 2024/06/09 16:35:15.283
7, 382, 2024/06/09 16:35:15.485
5, 382, 2024/06/09 16:35:15.686
4, 382, 2024/06/09 16:35:15.888
3, 382, 2024/06/09 16:35:16.089
3, 382, 2024/06/09 16:35:16.290
3, 366, 2024/06/09 16:35:16.492
9, 380, 2024/06/09 16:35:16.693
8, 376, 2024/06/09 16:35:16.895
4, 385, 2024/06/09 16:35:17.096
3, 391, 2024/06/09 16:35:17.297
4, 375, 2024/06/09 16:35:17.499
3, 375, 2024/06/09 16:35:17.700
3, 375, 2024/06/09 16:35:17.902
3, 375, 2024/06/09 16:35:18.103
2, 375, 2024/06/09 16:35:18.305
0, 375, 2024/06/09 16:35:18.506
1, 401, 2024/06/09 16:35:18.708
1, 408, 2024/06/09 16:35:18.910
1, 408, 2024/06/09 16:35:19.111
0, 408, 2024/06/09 16:35:19.313
0, 408, 2024/06/09 16:35:19.514
0, 408, 2024/06/09 16:35:19.716
0, 408, 2024/06/09 16:35:19.917
1, 441, 2024/06/09 16:35:20.119
7, 446, 2024/06/09 16:35:20.320
5, 455, 2024/06/09 16:35:20.521
0, 455, 2024/06/09 16:35:20.723
0, 455, 2024/06/09 16:35:20.925
0, 455, 2024/06/09 16:35:21.127
7, 455, 2024/06/09 16:35:21.329
7, 440, 2024/06/09 16:35:21.532
19, 440, 2024/06/09 16:35:21.735
8, 440, 2024/06/09 16:35:21.940
9, 449, 2024/06/09 16:35:22.143
27, 407, 2024/06/09 16:35:22.346
16, 407, 2024/06/09 16:35:22.548
0, 407, 2024/06/09 16:35:22.752
4, 407, 2024/06/09 16:35:22.955
22, 415, 2024/06/09 16:35:23.158
21, 419, 2024/06/09 16:35:23.360
23, 424, 2024/06/09 16:35:23.563
22, 424, 2024/06/09 16:35:23.767
12, 424, 2024/06/09 16:35:23.972
2, 424, 2024/06/09 16:35:24.175
21, 424, 2024/06/09 16:35:24.378
20, 424, 2024/06/09 16:35:24.581
13, 424, 2024/06/09 16:35:24.784
2, 424, 2024/06/09 16:35:24.989
0, 424, 2024/06/09 16:35:25.190
0, 393, 2024/06/09 16:35:25.392
13, 393, 2024/06/09 16:35:25.597
21, 399, 2024/06/09 16:35:25.800
20, 403, 2024/06/09 16:35:26.004
23, 403, 2024/06/09 16:35:26.207
19, 403, 2024/06/09 16:35:26.410
13, 403, 2024/06/09 16:35:26.613
0, 403, 2024/06/09 16:35:26.816
0, 403, 2024/06/09 16:35:27.019
6, 403, 2024/06/09 16:35:27.221
20, 412, 2024/06/09 16:35:27.424
25, 412, 2024/06/09 16:35:27.627
10, 412, 2024/06/09 16:35:27.833
0, 412, 2024/06/09 16:35:28.037
4, 412, 2024/06/09 16:35:28.238
22, 416, 2024/06/09 16:35:28.441
19, 416, 2024/06/09 16:35:28.644
1, 416, 2024/06/09 16:35:28.847
0, 416, 2024/06/09 16:35:29.050
2, 416, 2024/06/09 16:35:29.252
20, 416, 2024/06/09 16:35:29.455
20, 416, 2024/06/09 16:35:29.658
20, 416, 2024/06/09 16:35:29.862
13, 424, 2024/06/09 16:35:35.137
4, 432, 2024/06/09 16:35:35.340
7, 432, 2024/06/09 16:35:35.543
14, 432, 2024/06/09 16:35:35.746
6, 432, 2024/06/09 16:35:35.950
0, 417, 2024/06/09 16:35:36.151
1, 417, 2024/06/09 16:35:36.354
15, 417, 2024/06/09 16:35:36.557
15, 417, 2024/06/09 16:35:36.761
12, 417, 2024/06/09 16:35:36.966
0, 417, 2024/06/09 16:35:37.169
0, 417, 2024/06/09 16:35:37.371
0, 417, 2024/06/09 16:35:37.572
0, 417, 2024/06/09 16:35:37.775
0, 417, 2024/06/09 16:35:37.978
0, 417, 2024/06/09 16:35:38.179
0, 417, 2024/06/09 16:35:38.381
0, 417, 2024/06/09 16:35:38.583
0, 417, 2024/06/09 16:35:38.784
0, 417, 2024/06/09 16:35:38.987
0, 417, 2024/06/09 16:35:39.188
0, 417, 2024/06/09 16:35:39.390
0, 417, 2024/06/09 16:35:39.592
0, 417, 2024/06/09 16:35:39.794
0, 417, 2024/06/09 16:35:39.996
0, 417, 2024/06/09 16:35:40.197
0, 417, 2024/06/09 16:35:40.399
0, 417, 2024/06/09 16:35:40.601
0, 417, 2024/06/09 16:35:40.803
0, 417, 2024/06/09 16:35:41.005
0, 417, 2024/06/09 16:35:41.206
0, 417, 2024/06/09 16:35:41.408
0, 417, 2024/06/09 16:35:41.610
0, 433, 2024/06/09 16:35:41.811
34, 369, 2024/06/09 16:35:42.016
27, 372, 2024/06/09 16:35:42.219
12, 372, 2024/06/09 16:35:42.422
11, 372, 2024/06/09 16:35:42.624
10, 372, 2024/06/09 16:35:42.828
10, 372, 2024/06/09 16:35:43.033
10, 372, 2024/06/09 16:35:43.236
11, 372, 2024/06/09 16:35:43.439
10, 372, 2024/06/09 16:35:43.642
10, 372, 2024/06/09 16:35:43.845
7, 372, 2024/06/09 16:35:44.049
29, 393, 2024/06/09 16:35:44.252
18, 393, 2024/06/09 16:35:44.455
12, 355, 2024/06/09 16:35:44.658
9, 355, 2024/06/09 16:35:44.861
10, 355, 2024/06/09 16:35:45.066
10, 355, 2024/06/09 16:35:45.268
10, 355, 2024/06/09 16:35:45.471
8, 325, 2024/06/09 16:35:45.674
5, 325, 2024/06/09 16:35:45.875
7, 381, 2024/06/09 16:35:46.077
4, 381, 2024/06/09 16:35:46.279
4, 381, 2024/06/09 16:35:46.480
3, 381, 2024/06/09 16:35:46.681
3, 381, 2024/06/09 16:35:46.883
3, 381, 2024/06/09 16:35:47.085
3, 421, 2024/06/09 16:35:47.286
11, 371, 2024/06/09 16:35:47.487
5, 375, 2024/06/09 16:35:47.688
4, 383, 2024/06/09 16:35:47.890
3, 389, 2024/06/09 16:35:48.092
4, 373, 2024/06/09 16:35:48.293
3, 373, 2024/06/09 16:35:48.494
3, 373, 2024/06/09 16:35:48.696
3, 373, 2024/06/09 16:35:48.897
2, 373, 2024/06/09 16:35:49.099
0, 381, 2024/06/09 16:35:49.300
1, 400, 2024/06/09 16:35:49.501
1, 407, 2024/06/09 16:35:49.703
1, 407, 2024/06/09 16:35:49.905
0, 407, 2024/06/09 16:35:50.106
0, 407, 2024/06/09 16:35:50.308
0, 407, 2024/06/09 16:35:50.509
0, 407, 2024/06/09 16:35:50.710
8, 445, 2024/06/09 16:35:50.913
27, 445, 2024/06/09 16:35:51.116
13, 447, 2024/06/09 16:35:51.318
1, 447, 2024/06/09 16:35:51.521
0, 447, 2024/06/09 16:35:51.722
0, 447, 2024/06/09 16:35:51.925
5, 447, 2024/06/09 16:35:52.127
9, 432, 2024/06/09 16:35:52.330
19, 432, 2024/06/09 16:35:52.534
10, 432, 2024/06/09 16:35:52.737
6, 438, 2024/06/09 16:35:52.941
17, 440, 2024/06/09 16:35:53.144
20, 441, 2024/06/09 16:35:53.347
17, 441, 2024/06/09 16:35:53.550
1, 441, 2024/06/09 16:35:53.753
6, 449, 2024/06/09 16:35:53.956
20, 449, 2024/06/09 16:35:54.159
20, 458, 2024/06/09 16:35:54.362
24, 458, 2024/06/09 16:35:54.568
22, 458, 2024/06/09 16:35:54.773
9, 458, 2024/06/09 16:35:54.977
7, 458, 2024/06/09 16:35:55.180
22, 458, 2024/06/09 16:35:55.382
20, 458, 2024/06/09 16:35:55.585
8, 458, 2024/06/09 16:35:55.789
1, 458, 2024/06/09 16:35:55.993
0, 433, 2024/06/09 16:35:56.194
1, 433, 2024/06/09 16:35:56.397
14, 439, 2024/06/09 16:35:56.600
19, 439, 2024/06/09 16:35:56.804
23, 443, 2024/06/09 16:35:57.008
23, 443, 2024/06/09 16:35:57.211
19, 443, 2024/06/09 16:35:57.414
11, 443, 2024/06/09 16:35:57.616
0, 443, 2024/06/09 16:35:57.819
0, 443, 2024/06/09 16:35:58.021
0, 443, 2024/06/09 16:35:58.223
0, 443, 2024/06/09 16:35:58.424
15, 451, 2024/06/09 16:35:58.627
22, 452, 2024/06/09 16:35:58.831
21, 452, 2024/06/09 16:35:59.035
4, 452, 2024/06/09 16:35:59.238
0, 452, 2024/06/09 16:35:59.440
6, 456, 2024/06/09 16:35:59.643
22, 456, 2024/06/09 16:35:59.846
18, 456, 2024/06/09 16:36:00.050
1, 456, 2024/06/09 16:36:00.253
0, 456, 2024/06/09 16:36:00.455
12, 456, 2024/06/09 16:36:00.657
18, 456, 2024/06/09 16:36:00.861
14, 464, 2024/06/09 16:36:06.142
13, 464, 2024/06/09 16:36:06.345
4, 464, 2024/06/09 16:36:06.548
7, 472, 2024/06/09 16:36:06.751
14, 472, 2024/06/09 16:36:06.955
6, 472, 2024/06/09 16:36:07.158
0, 472, 2024/06/09 16:36:07.361
1, 457, 2024/06/09 16:36:07.562
9, 457, 2024/06/09 16:36:07.766
16, 457, 2024/06/09 16:36:07.971
14, 457, 2024/06/09 16:36:08.174
13, 457, 2024/06/09 16:36:08.376
0, 457, 2024/06/09 16:36:08.579
0, 457, 2024/06/09 16:36:08.781
0, 457, 2024/06/09 16:36:08.984
0, 457, 2024/06/09 16:36:09.186
0, 457, 2024/06/09 16:36:09.388
0, 457, 2024/06/09 16:36:09.589
0, 457, 2024/06/09 16:36:09.791
0, 457, 2024/06/09 16:36:09.993
0, 457, 2024/06/09 16:36:10.195
0, 457, 2024/06/09 16:36:10.397
0, 457, 2024/06/09 16:36:10.598
0, 457, 2024/06/09 16:36:10.800
0, 457, 2024/06/09 16:36:11.002
0, 457, 2024/06/09 16:36:11.204
0, 457, 2024/06/09 16:36:11.405
0, 457, 2024/06/09 16:36:11.607
0, 457, 2024/06/09 16:36:11.809
0, 457, 2024/06/09 16:36:12.011
0, 457, 2024/06/09 16:36:12.213
0, 457, 2024/06/09 16:36:12.415
0, 457, 2024/06/09 16:36:12.616
0, 457, 2024/06/09 16:36:12.818
0, 457, 2024/06/09 16:36:13.021
0, 439, 2024/06/09 16:36:13.222
15, 372, 2024/06/09 16:36:13.425
45, 385, 2024/06/09 16:36:13.628
10, 385, 2024/06/09 16:36:13.832
10, 377, 2024/06/09 16:36:14.036
8, 377, 2024/06/09 16:36:14.239
7, 377, 2024/06/09 16:36:14.441
7, 377, 2024/06/09 16:36:14.644
7, 377, 2024/06/09 16:36:14.848
7, 393, 2024/06/09 16:36:15.052
28, 404, 2024/06/09 16:36:15.255
9, 404, 2024/06/09 16:36:15.458
9, 372, 2024/06/09 16:36:15.661
7, 372, 2024/06/09 16:36:15.864
7, 372, 2024/06/09 16:36:16.070
7, 372, 2024/06/09 16:36:16.273
7, 372, 2024/06/09 16:36:16.476
7, 335, 2024/06/09 16:36:16.678
6, 391, 2024/06/09 16:36:16.880
4, 391, 2024/06/09 16:36:17.081
5, 391, 2024/06/09 16:36:17.283
3, 391, 2024/06/09 16:36:17.485
3, 391, 2024/06/09 16:36:17.686
3, 391, 2024/06/09 16:36:17.887
3, 391, 2024/06/09 16:36:18.089
9, 381, 2024/06/09 16:36:18.295
7, 386, 2024/06/09 16:36:18.497
4, 391, 2024/06/09 16:36:18.698
3, 397, 2024/06/09 16:36:18.900
4, 381, 2024/06/09 16:36:19.101
3, 381, 2024/06/09 16:36:19.302
3, 381, 2024/06/09 16:36:19.504
3, 381, 2024/06/09 16:36:19.705
3, 381, 2024/06/09 16:36:19.907
2, 381, 2024/06/09 16:36:20.108
0, 403, 2024/06/09 16:36:20.310
1, 411, 2024/06/09 16:36:20.511
1, 414, 2024/06/09 16:36:20.712
0, 414, 2024/06/09 16:36:20.914
0, 414, 2024/06/09 16:36:21.115
0, 414, 2024/06/09 16:36:21.317
0, 414, 2024/06/09 16:36:21.518
0, 414, 2024/06/09 16:36:21.720
5, 453, 2024/06/09 16:36:21.922
26, 453, 2024/06/09 16:36:22.125
15, 455, 2024/06/09 16:36:22.328
6, 455, 2024/06/09 16:36:22.530
0, 455, 2024/06/09 16:36:22.733
0, 455, 2024/06/09 16:36:22.935
6, 455, 2024/06/09 16:36:23.138
9, 440, 2024/06/09 16:36:23.341
16, 440, 2024/06/09 16:36:23.545
14, 440, 2024/06/09 16:36:23.748
0, 444, 2024/06/09 16:36:23.952
9, 451, 2024/06/09 16:36:24.155
22, 451, 2024/06/09 16:36:24.358
21, 451, 2024/06/09 16:36:24.560
3, 451, 2024/06/09 16:36:24.764
0, 451, 2024/06/09 16:36:24.967
16, 459, 2024/06/09 16:36:25.170
21, 463, 2024/06/09 16:36:25.373
20, 468, 2024/06/09 16:36:25.576
26, 468, 2024/06/09 16:36:25.779
19, 468, 2024/06/09 16:36:25.983
1, 468, 2024/06/09 16:36:26.186
14, 468, 2024/06/09 16:36:26.389
22, 468, 2024/06/09 16:36:26.592
19, 468, 2024/06/09 16:36:26.795
5, 468, 2024/06/09 16:36:27.000
0, 443, 2024/06/09 16:36:27.201
1, 443, 2024/06/09 16:36:27.404
0, 443, 2024/06/09 16:36:27.606
23, 449, 2024/06/09 16:36:27.810
21, 449, 2024/06/09 16:36:28.017
24, 454, 2024/06/09 16:36:28.220
19, 454, 2024/06/09 16:36:28.423
17, 454, 2024/06/09 16:36:28.625
1, 454, 2024/06/09 16:36:28.829
0, 454, 2024/06/09 16:36:29.033
0, 454, 2024/06/09 16:36:29.235
0, 454, 2024/06/09 16:36:29.436
0, 454, 2024/06/09 16:36:29.638
12, 454, 2024/06/09 16:36:29.840
20, 462, 2024/06/09 16:36:30.044
21, 462, 2024/06/09 16:36:30.247
24, 463, 2024/06/09 16:36:30.452
6, 463, 2024/06/09 16:36:30.655
0, 463, 2024/06/09 16:36:30.858
8, 463, 2024/06/09 16:36:31.061
22, 467, 2024/06/09 16:36:31.264
16, 467, 2024/06/09 16:36:31.468
1, 467, 2024/06/09 16:36:31.671
0, 467, 2024/06/09 16:36:31.873
12, 467, 2024/06/09 16:36:32.075
20, 467, 2024/06/09 16:36:32.279
21, 467, 2024/06/09 16:36:32.482
20, 467, 2024/06/09 16:36:32.685
21, 467, 2024/06/09 16:36:32.888
20, 467, 2024/06/09 16:36:33.092
3, 468, 2024/06/09 16:36:33.295
23, 468, 2024/06/09 16:36:33.498
20, 468, 2024/06/09 16:36:33.703
20, 468, 2024/06/09 16:36:33.907
14, 465, 2024/06/09 16:36:40.199
2, 465, 2024/06/09 16:36:40.402
0, 465, 2024/06/09 16:36:40.603
0, 465, 2024/06/09 16:36:40.805
14, 465, 2024/06/09 16:36:41.010
15, 465, 2024/06/09 16:36:41.213
14, 465, 2024/06/09 16:36:41.416
10, 465, 2024/06/09 16:36:41.619
1, 465, 2024/06/09 16:36:41.822
0, 465, 2024/06/09 16:36:42.025
0, 465, 2024/06/09 16:36:42.227
0, 465, 2024/06/09 16:36:42.429
0, 465, 2024/06/09 16:36:42.630
0, 465, 2024/06/09 16:36:42.832
0, 465, 2024/06/09 16:36:43.034
0, 465, 2024/06/09 16:36:43.236
0, 465, 2024/06/09 16:36:43.438
0, 465, 2024/06/09 16:36:43.640
0, 465, 2024/06/09 16:36:43.842
0, 465, 2024/06/09 16:36:44.044
0, 465, 2024/06/09 16:36:44.246
0, 465, 2024/06/09 16:36:44.447
0, 465, 2024/06/09 16:36:44.649
0, 465, 2024/06/09 16:36:44.851
0, 465, 2024/06/09 16:36:45.053
0, 465, 2024/06/09 16:36:45.255
0, 465, 2024/06/09 16:36:45.457
0, 465, 2024/06/09 16:36:45.659
0, 465, 2024/06/09 16:36:45.861
0, 465, 2024/06/09 16:36:46.063
0, 465, 2024/06/09 16:36:46.264
0, 465, 2024/06/09 16:36:46.466
0, 465, 2024/06/09 16:36:46.668
0, 465, 2024/06/09 16:36:46.869
0, 465, 2024/06/09 16:36:47.072
0, 465, 2024/06/09 16:36:47.273
0, 487, 2024/06/09 16:36:47.475
27, 393, 2024/06/09 16:36:47.684
36, 393, 2024/06/09 16:36:47.887
13, 393, 2024/06/09 16:36:48.091
12, 393, 2024/06/09 16:36:48.294
11, 393, 2024/06/09 16:36:48.497
10, 393, 2024/06/09 16:36:48.700
10, 393, 2024/06/09 16:36:48.904
10, 393, 2024/06/09 16:36:49.107
11, 403, 2024/06/09 16:36:49.310
34, 403, 2024/06/09 16:36:49.512
13, 371, 2024/06/09 16:36:49.715
12, 371, 2024/06/09 16:36:49.919
10, 371, 2024/06/09 16:36:50.122
10, 371, 2024/06/09 16:36:50.325
10, 371, 2024/06/09 16:36:50.528
8, 341, 2024/06/09 16:36:50.731
6, 389, 2024/06/09 16:36:50.935
5, 397, 2024/06/09 16:36:51.136
5, 397, 2024/06/09 16:36:51.337
3, 397, 2024/06/09 16:36:51.538
3, 397, 2024/06/09 16:36:51.740
3, 397, 2024/06/09 16:36:51.941
3, 397, 2024/06/09 16:36:52.143
7, 422, 2024/06/09 16:36:52.344
9, 387, 2024/06/09 16:36:52.546
4, 399, 2024/06/09 16:36:52.747
3, 399, 2024/06/09 16:36:52.949
4, 389, 2024/06/09 16:36:53.150
3, 389, 2024/06/09 16:36:53.352
3, 389, 2024/06/09 16:36:53.553
3, 389, 2024/06/09 16:36:53.754
3, 389, 2024/06/09 16:36:53.956
1, 389, 2024/06/09 16:36:54.158
0, 389, 2024/06/09 16:36:54.359
1, 414, 2024/06/09 16:36:54.560
1, 422, 2024/06/09 16:36:54.762
0, 422, 2024/06/09 16:36:54.963
0, 422, 2024/06/09 16:36:55.165
0, 422, 2024/06/09 16:36:55.366
0, 422, 2024/06/09 16:36:55.567
0, 422, 2024/06/09 16:36:55.773
10, 457, 2024/06/09 16:36:55.977
28, 460, 2024/06/09 16:36:56.180
28, 460, 2024/06/09 16:36:56.383
28, 460, 2024/06/09 16:36:56.586
19, 462, 2024/06/09 16:36:56.789
0, 462, 2024/06/09 16:36:56.993
0, 462, 2024/06/09 16:36:57.195
0, 462, 2024/06/09 16:36:57.396
11, 462, 2024/06/09 16:36:57.598
10, 472, 2024/06/09 16:36:57.801
15, 472, 2024/06/09 16:36:58.006
5, 476, 2024/06/09 16:36:58.210
12, 482, 2024/06/09 16:36:58.412
25, 482, 2024/06/09 16:36:58.615
7, 482, 2024/06/09 16:36:58.819
0, 482, 2024/06/09 16:36:59.023
11, 490, 2024/06/09 16:36:59.224
21, 465, 2024/06/09 16:36:59.427
21, 475, 2024/06/09 16:36:59.630
23, 475, 2024/06/09 16:36:59.833
20, 475, 2024/06/09 16:37:00.039
4, 475, 2024/06/09 16:37:00.242
17, 475, 2024/06/09 16:37:00.445
20, 475, 2024/06/09 16:37:00.649
16, 475, 2024/06/09 16:37:00.852
4, 475, 2024/06/09 16:37:01.056
0, 475, 2024/06/09 16:37:01.259
0, 475, 2024/06/09 16:37:01.461
7, 449, 2024/06/09 16:37:01.662
21, 455, 2024/06/09 16:37:01.866
21, 456, 2024/06/09 16:37:02.070
24, 460, 2024/06/09 16:37:02.273
19, 460, 2024/06/09 16:37:02.478
14, 460, 2024/06/09 16:37:02.682
0, 460, 2024/06/09 16:37:02.885
0, 460, 2024/06/09 16:37:03.088
8, 460, 2024/06/09 16:37:03.290
20, 468, 2024/06/09 16:37:03.492
24, 469, 2024/06/09 16:37:03.695
9, 469, 2024/06/09 16:37:03.899
0, 469, 2024/06/09 16:37:04.103
2, 469, 2024/06/09 16:37:04.305
21, 473, 2024/06/09 16:37:04.508
22, 473, 2024/06/09 16:37:04.711
2, 473, 2024/06/09 16:37:04.915
0, 473, 2024/06/09 16:37:05.117
6, 473, 2024/06/09 16:37:05.318
20, 473, 2024/06/09 16:37:05.521
21, 473, 2024/06/09 16:37:05.724
20, 473, 2024/06/09 16:37:05.928
14, 481, 2024/06/09 16:37:11.001
9, 481, 2024/06/09 16:37:11.204
0, 489, 2024/06/09 16:37:11.407
11, 489, 2024/06/09 16:37:11.610
14, 489, 2024/06/09 16:37:11.813
2, 489, 2024/06/09 16:37:12.017
0, 474, 2024/06/09 16:37:12.219
3, 474, 2024/06/09 16:37:12.422
15, 474, 2024/06/09 16:37:12.625
15, 474, 2024/06/09 16:37:12.828
14, 474, 2024/06/09 16:37:13.032
6, 474, 2024/06/09 16:37:13.235
0, 474, 2024/06/09 16:37:13.437
0, 474, 2024/06/09 16:37:13.638
