cpu,memory,timestamp
333.3,13004.8,20:29:26
375,13004.8,20:29:26
385,13004.8,20:29:26
370,13004.8,20:29:26
375,13004.8,20:29:26
335,13004.8,20:29:27
290,13004.8,20:29:27
365,13004.8,20:29:27
295,13004.8,20:29:27
390,13004.8,20:29:27
385,13004.8,20:29:28
380,13004.8,20:29:28
370,13004.8,20:29:28
335,13004.8,20:29:28
328.6,13004.8,20:29:28
350,13004.8,20:29:29
380,13004.8,20:29:29
345,13004.8,20:29:29
390,13004.8,20:29:29
400,13004.8,20:29:29
345,13004.8,20:29:30
320,13004.8,20:29:30
271.4,13004.8,20:29:30
220,13004.8,20:29:30
230,13004.8,20:29:30
50,13004.8,20:29:31
60,13004.8,20:29:31
50,13004.8,20:29:31
50,13004.8,20:29:31
40,13004.8,20:29:31
40,13004.8,20:29:32
35,13004.8,20:29:32
35,13004.8,20:29:32
40,13004.8,20:29:32
25,13004.8,20:29:33
33.3,13004.8,20:29:33
35,13004.8,20:29:33
40,13004.8,20:29:33
95,13004.8,20:29:33
370,13004.8,20:29:34
385,13004.8,20:29:34
360,13004.8,20:29:34
390,13004.8,20:29:34
365,13004.8,20:29:34
385,13004.8,20:29:35
390,13004.8,20:29:35
380,13004.8,20:29:35
375,13004.8,20:29:35
366.7,13004.8,20:29:35
380,13004.8,20:29:36
375,13004.8,20:29:36
370,13004.8,20:29:36
370,13004.8,20:29:36
385,13004.8,20:29:36
385,13004.8,20:29:37
375,13004.8,20:29:37
380,13004.8,20:29:37
380,13004.8,20:29:37
371.4,13004.8,20:29:37
375,13004.8,20:29:38
375,13004.8,20:29:38
370,13004.8,20:29:38
385,13004.8,20:29:38
375,13004.8,20:29:38
375,13004.8,20:29:39
390,13004.8,20:29:39
375,13004.8,20:29:39
375,13004.8,20:29:39
371.4,13004.8,20:29:39
370,13004.8,20:29:40
375,13004.8,20:29:40
210,13004.8,20:29:40
375,13004.8,20:29:40
375,13004.8,20:29:40
265,13004.8,20:29:41
220,13004.8,20:29:41
385,13004.8,20:29:41
380,13004.8,20:29:41
352.4,13004.8,20:29:41
385,13004.8,20:29:42
380,13004.8,20:29:42
375,13004.8,20:29:42
385,13004.8,20:29:42
385,13004.8,20:29:42
380,13004.8,20:29:43
380,13004.8,20:29:43
385,13004.8,20:29:43
380,13004.8,20:29:43
390,13004.8,20:29:43
380,13004.8,20:29:44
365,13004.8,20:29:44
190,13004.8,20:29:44
361.9,13004.8,20:29:44
370,13004.8,20:29:44
310,13004.8,20:29:45
195,13004.8,20:29:45
375,13004.8,20:29:45
380,13004.8,20:29:45
380,13004.8,20:29:45
375,13004.8,20:29:46
375,13004.8,20:29:46
385,13004.8,20:29:46
375,13004.8,20:29:46
380,13004.8,20:29:46
385,13004.8,20:29:47
361.9,13004.8,20:29:47
370,13004.8,20:29:47
370,13004.8,20:29:47
385,13004.8,20:29:47
385,13004.8,20:29:48
375,13004.8,20:29:48
200,13004.8,20:29:48
375,13004.8,20:29:48
370,13004.8,20:29:48
305,13004.8,20:29:49
45,13004.8,20:29:49
42.9,13004.8,20:29:49
40,13004.8,20:29:49
50,13004.8,20:29:49
40,13004.8,20:29:50
160,13004.8,20:29:50
375,13004.8,20:29:50
385,13004.8,20:29:50
375,13004.8,20:29:50
375,13004.8,20:29:51
385,13004.8,20:29:51
375,13004.8,20:29:51
375,13004.8,20:29:51
370,13004.8,20:29:51
375,13004.8,20:29:52
380,13004.8,20:29:52
385,13004.8,20:29:52
361.9,13004.8,20:29:52
375,13004.8,20:29:52
